,BlockId,Label
0,blk_-1608999687919862906,Normal
1,blk_7503483334202473044,Normal
2,blk_-3544583377289625738,Anomaly
3,blk_-9073992586687739851,Normal
4,blk_7854771516489510256,Normal
5,blk_1717858812220360316,Normal
6,blk_-2519617320378473615,Normal
7,blk_7063315473424667801,Normal
8,blk_8586544123689943463,Normal
9,blk_2765344736980045501,Normal
10,blk_-2900490557492272760,Normal
11,blk_-50273257731426871,Normal
12,blk_4394112519745907149,Normal
13,blk_3640100967125688321,Normal
14,blk_-40115644493265216,Normal
15,blk_-8531310335568756456,Anomaly
16,blk_-3409923645141256069,Normal
17,blk_3974948352784823938,Normal
18,blk_5647760196018207394,Normal
19,blk_-202775138379690649,Normal
20,blk_-8120118743897862909,Normal
21,blk_8376667364205250596,Normal
22,blk_-1942808544656255720,Normal
23,blk_3947106522258141922,Anomaly
24,blk_-4513615671112005170,Normal
25,blk_5703440264997337028,Normal
26,blk_-66330728533676520,Normal
27,blk_1998424538687454859,Normal
28,blk_3175731177970777720,Normal
29,blk_5117857107611435103,Normal
30,blk_5727159100405160712,Normal
31,blk_-6535155942125829332,Normal
32,blk_-7742258871275669707,Normal
33,blk_-7861579849076010389,Normal
34,blk_-8476126489496204177,Normal
35,blk_-2372508938534145884,Normal
36,blk_4649698331936539655,Normal
37,blk_9069966081657556515,Normal
38,blk_-2444160001954743483,Normal
39,blk_-2828839543885026602,Normal
40,blk_-3940941529251864773,Normal
41,blk_8609819439677503690,Normal
42,blk_-8281945757273050140,Normal
43,blk_2825871331379974767,Normal
44,blk_-774246298521956028,Normal
45,blk_-5649479540791129974,Normal
46,blk_-8013855621109800549,Normal
47,blk_177394776382448614,Normal
48,blk_-2398209593415798905,Normal
49,blk_-6370470857048627387,Normal
